ZipCode,TotalPopulation,PopulationWhite,PopulationAfricanAmerican,PopulationAmericanIndianAlaskaNative,PopulationAsian,PopulationHispanic,PopulationPacificIslander,PopulationOther,PopulationMultipleRace,PerCapitaIncome,MedianAge,MedianAgeMale,MedianAgeFemale,EducationNinthGradeOrLess,EducationSomeHighSchool,EducationHighSchoolGraduate,EducationSomeCollegeWithoutDiploma,EducationAssociatesDegree,EducationBachelorsDegree,loc_name,product_name,price_current,Midgrade,Premium,Regular
92676,1988,1781,2,0,50,198,0,33,122,58492.0,48.4,51.4,43.7,6,33,293,289,259,454,Chevron,Regular,5.99,4.3975,2.91,4.327500000000001
92701,49008,12063,344,682,2234,42437,131,30394,3160,19887.0,30.2,29.4,31.1,7928,5059,9426,6766,1498,2576,Chevron,Regular,5.99,4.084666666666667,4.3773333333333335,4.164666666666666
92703,64387,14021,558,503,10522,49914,147,32975,5661,20275.0,32.9,31.8,34.4,10363,8289,13414,9735,1875,4272,Shell,Regular,5.89,5.9,5.20375,5.6775
92705,47851,26345,856,162,4773,22638,17,10905,4793,50467.0,37.9,35.6,39.5,2034,2213,7099,7397,2228,9110,Chevron,Regular,5.88,6.03,6.03,5.83
92706,36694,12723,597,216,3379,25723,48,14810,4921,30915.0,36.0,34.0,37.4,4622,3383,6222,6415,1429,4150,Shell,Regular,6.37,4.510769230769231,4.587692307692308,4.3769230769230765
92801,65662,29843,2891,603,11949,38782,78,13021,7277,24877.0,34.3,33.2,36.0,6683,5594,13440,12370,2501,7295,SC Fuels,Regular,0.0,4.151388888888889,4.39638888888889,4.663055555555555
92802,42911,22903,1016,191,5532,29225,128,6924,6217,24988.0,33.2,33.2,33.2,4547,4595,8079,6883,2450,3973,Mobil,Regular,5.99,5.8775,5.9775,5.6725
92805,73736,39526,1046,745,9057,53316,56,12680,10626,26562.0,32.4,33.5,31.4,8683,5806,13293,11859,3693,8395,7-Eleven,Regular,5.49,5.110322580645162,5.226875,5.1246875
92806,40009,19778,970,531,5252,23293,318,6462,6698,35295.0,35.2,33.5,36.0,3187,2732,7988,6838,2184,5444,76,Regular,5.75,5.085925925925926,5.652592592592593,4.935555555555555
92807,36110,25139,546,105,5355,9137,7,1515,3443,52654.0,42.8,41.5,43.9,821,1192,5364,6672,3265,7068,Shell,Regular,6.09,5.22875,5.31625,5.79
93510,7010,5678,72,39,174,2008,0,676,371,47358.0,46.5,48.9,44.4,38,380,1551,1886,523,1119,Chevron,Regular,5.99,5.429600000000001,5.312549019607843,5.267450980392157
93534,43535,19324,11201,395,1210,18369,117,5924,5364,21387.0,33.2,30.6,35.3,2008,3803,9501,7641,2943,2955,10th &  I Smog & Gas,Regular,5.59,2.4144,2.73,2.57
