RecordID,ZipCode,City,County,State,Latitude,Longitude,DominantAreaCode,ResidentialDeliveries,ResidentialPOBoxes,BusinessDeliveries,BusinessPOBoxes,LastLineIndicator,TotalPopulation,PopulationWhite,PopulationAfricanAmerican,PopulationAmericanIndianAlaskaNative,PopulationAsian,PopulationHispanic,PopulationPacificIslander,PopulationOther,PopulationMultipleRace,MedianHouseholdIncome,PerCapitaIncome,MedianHomeValue,MedianAge,MedianAgeMale,MedianAgeFemale,EducationNinthGradeOrLess,EducationSomeHighSchool,EducationHighSchoolGraduate,EducationSomeCollegeWithoutDiploma,EducationAssociatesDegree,EducationBachelorsDegree
540,92610,LAKE FOREST,ORANGE,CA,33.6827,-117.6633,949,4636,0,345,0,,12524,6874,51,55,4100,1472,42,173,1229,155101,59787,1152000,39.6,39.4,39.9,34,301,1225,1532,783,3713
541,92612,IRVINE,ORANGE,CA,33.6672,-117.8426,949,15768,0,1397,0,L,34640,17862,1000,35,12298,4075,52,1330,2063,76648,47327,1095000,30.1,29.5,30.7,325,510,4065,7631,2186,10178
542,92614,IRVINE,ORANGE,CA,33.6834,-117.8411,949,12627,0,2347,0,L,29307,14527,868,109,9234,3263,167,763,3639,104971,53661,1145500,33.1,32.4,34.0,1142,725,1728,3582,1874,8138
543,92617,IRVINE,ORANGE,CA,33.6432,-117.8379,949,5037,0,141,0,L,17960,7922,1086,35,5503,4100,55,844,2515,57372,26134,765000,20.8,21.7,20.5,23,171,4098,5828,503,1805
544,92618,IRVINE,ORANGE,CA,33.6621,-117.7483,949,28267,0,3440,0,L,54368,21873,810,91,26321,5381,145,1500,3628,117833,59503,1342000,34.2,33.2,35.2,440,972,3562,6253,3009,16261
545,92620,IRVINE,ORANGE,CA,33.7061,-117.7580,949,22609,0,365,0,L,60344,20504,689,375,32643,5586,155,1494,4484,131521,56511,1500000,36.9,36.1,37.5,918,897,4653,5890,2619,15957
546,92624,CAPISTRANO BEACH,ORANGE,CA,33.4622,-117.6687,949,3056,431,252,154,L,6398,5214,41,16,112,1666,18,634,363,110990,62308,1635000,49.6,49.0,51.1,55,375,737,1534,489,1517
547,92624,DANA POINT,ORANGE,CA,33.4622,-117.6687,949,3056,431,252,154,,6398,5214,41,16,112,1666,18,634,363,110990,62308,1635000,49.6,49.0,51.1,55,375,737,1534,489,1517
548,92625,CORONA DEL MAR,ORANGE,CA,33.5993,-117.8697,949,6595,435,422,172,L,13102,10861,157,28,977,1068,0,184,895,167925,117652,3741000,54.2,53.6,54.5,145,159,1145,1352,408,4384
549,92626,COSTA MESA,ORANGE,CA,33.6796,-117.9038,714,20894,0,3395,0,L,50389,31318,993,379,7290,14410,523,5344,4542,98766,48796,1284000,36.4,36.0,37.0,1809,1896,6862,10234,3337,12346
550,92627,COSTA MESA,ORANGE,CA,33.6472,-117.9187,949,23634,803,2764,215,L,62575,37963,596,393,3141,25959,151,14660,5671,94833,46848,1268000,35.7,36.0,35.5,3250,3712,10550,10442,3027,12537
551,92629,DANA POINT,ORANGE,CA,33.4747,-117.7017,949,12833,719,686,380,L,26929,21955,672,64,1219,4169,15,1335,1669,111155,68713,1604500,48.3,47.6,48.9,444,457,3487,4339,1779,6806
552,92629,MONARCH BAY,ORANGE,CA,33.4747,-117.7017,949,12833,719,686,380,,26929,21955,672,64,1219,4169,15,1335,1669,111155,68713,1604500,48.3,47.6,48.9,444,457,3487,4339,1779,6806
553,92629,MONARCH BEACH,ORANGE,CA,33.4747,-117.7017,949,12833,719,686,380,,26929,21955,672,64,1219,4169,15,1335,1669,111155,68713,1604500,48.3,47.6,48.9,444,457,3487,4339,1779,6806
554,92630,EL TORO,ORANGE,CA,33.6414,-117.6889,949,24334,0,2022,0,,66621,39094,1862,1170,11172,17681,47,5960,7316,108963,48583,1076000,39.9,38.6,40.9,1963,2245,9028,12310,4923,14894
555,92630,LAKE FOREST,ORANGE,CA,33.6414,-117.6889,949,24334,0,2022,0,L,66621,39094,1862,1170,11172,17681,47,5960,7316,108963,48583,1076000,39.9,38.6,40.9,1963,2245,9028,12310,4923,14894
556,92637,LAGUNA HILLS,ORANGE,CA,33.6080,-117.7230,949,12907,0,149,0,,17546,12731,87,17,3822,735,41,390,458,53076,48601,471000,74.5,73.9,74.7,134,388,2856,3887,1214,5300
557,92637,LAGUNA WOODS,ORANGE,CA,33.6080,-117.7230,949,12907,0,149,0,L,17546,12731,87,17,3822,735,41,390,458,53076,48601,471000,74.5,73.9,74.7,134,388,2856,3887,1214,5300
558,92646,HUNTINGTON,ORANGE,CA,33.6692,-117.9702,714,22186,0,565,0,,55939,39599,587,357,7493,8609,212,2565,5126,112926,55677,1281000,46.9,45.7,47.7,862,1604,7378,10712,4339,13465
559,92646,HUNTINGTON BEACH,ORANGE,CA,33.6692,-117.9702,714,22186,0,565,0,L,55939,39599,587,357,7493,8609,212,2565,5126,112926,55677,1281000,46.9,45.7,47.7,862,1604,7378,10712,4339,13465
560,92647,HUNTINGTON BEACH,ORANGE,CA,33.7209,-118.0015,714,22299,671,2461,264,L,60592,36106,1075,291,8613,17399,321,8507,5679,97736,41925,1122000,36.7,35.8,38.0,2150,2454,10206,12476,4378,11139
561,92648,BEACH CENTER,ORANGE,CA,33.6750,-117.9994,714,21474,376,1639,177,,45612,32462,366,154,5453,7393,236,2633,4308,105759,64411,1480000,43.7,41.9,44.9,803,1608,6373,8143,3134,10505
562,92648,HUNTINGTON BEACH,ORANGE,CA,33.6750,-117.9994,714,21474,376,1639,177,L,45612,32462,366,154,5453,7393,236,2633,4308,105759,64411,1480000,43.7,41.9,44.9,803,1608,6373,8143,3134,10505
563,92649,HUNTINGTON BEACH,ORANGE,CA,33.7213,-118.0434,714,15131,0,1603,0,L,36130,26196,344,101,3995,5880,73,1192,4229,104320,61539,1208000,44.9,44.8,45.2,437,1342,4243,6866,3282,8638
564,92651,LAGUNA BEACH,ORANGE,CA,33.5353,-117.7703,949,12816,0,1448,0,L,24042,20753,115,66,742,1943,0,759,1607,138734,103121,2965000,53.1,52.4,53.6,253,507,1789,3320,1214,7535
565,92653,ALISO VIEJO,ORANGE,CA,33.6003,-117.7051,949,10882,0,2349,0,,30183,19312,946,48,4603,6316,40,2571,2663,111111,58841,1116000,42.6,40.8,44.6,786,962,3681,4700,2231,7636
566,92653,LAGUNA BEACH,ORANGE,CA,33.6003,-117.7051,949,10882,0,2349,0,,30183,19312,946,48,4603,6316,40,2571,2663,111111,58841,1116000,42.6,40.8,44.6,786,962,3681,4700,2231,7636
567,92653,LAGUNA HILLS,ORANGE,CA,33.6003,-117.7051,949,10882,0,2349,0,L,30183,19312,946,48,4603,6316,40,2571,2663,111111,58841,1116000,42.6,40.8,44.6,786,962,3681,4700,2231,7636
568,92653,LAGUNA WOODS,ORANGE,CA,33.6003,-117.7051,949,10882,0,2349,0,,30183,19312,946,48,4603,6316,40,2571,2663,111111,58841,1116000,42.6,40.8,44.6,786,962,3681,4700,2231,7636
569,92655,MIDWAY CITY,ORANGE,CA,33.7456,-117.9859,714,2654,244,99,62,L,8440,2506,92,48,3931,2945,0,1577,286,48323,24228,934000,41.4,40.3,45.0,943,1030,1605,1173,393,942
570,92656,ALISO VIEJO,ORANGE,CA,33.5790,-117.7258,949,20602,0,759,0,L,53169,34568,1383,122,8266,10671,31,3712,5087,121275,53459,872000,37.6,37.4,37.7,679,934,5424,8876,3262,12929
571,92656,LAGUNA BEACH,ORANGE,CA,33.5790,-117.7258,949,20602,0,759,0,,53169,34568,1383,122,8266,10671,31,3712,5087,121275,53459,872000,37.6,37.4,37.7,679,934,5424,8876,3262,12929
572,92656,LAGUNA HILLS,ORANGE,CA,33.5790,-117.7258,949,20602,0,759,0,,53169,34568,1383,122,8266,10671,31,3712,5087,121275,53459,872000,37.6,37.4,37.7,679,934,5424,8876,3262,12929
573,92657,NEWPORT BEACH,ORANGE,CA,33.6021,-117.8308,949,4679,0,82,0,,9342,6526,20,0,2116,557,16,55,609,181176,113882,4615000,45.9,44.4,48.5,45,68,660,590,330,2418
574,92657,NEWPORT COAST,ORANGE,CA,33.6021,-117.8308,949,4679,0,82,0,L,9342,6526,20,0,2116,557,16,55,609,181176,113882,4615000,45.9,44.4,48.5,45,68,660,590,330,2418
575,92660,NEWPORT BEACH,ORANGE,CA,33.6390,-117.8752,949,16774,0,3407,0,L,36100,29255,364,238,3016,3194,0,724,2503,142500,102778,2919000,47.4,46.3,48.2,169,489,2221,4561,1835,12129
576,92661,NEWPORT BEACH,ORANGE,CA,33.6025,-117.9022,949,2407,178,107,97,L,3279,2286,49,0,132,401,29,52,731,169911,113495,3936500,46.0,36.3,53.1,0,0,264,925,158,996
577,92662,BALBOA,ORANGE,CA,33.6061,-117.8915,949,1767,357,109,87,,2471,2371,0,0,49,56,0,0,51,143781,108347,3797000,61.8,61.4,61.9,0,5,87,625,99,987
578,92662,BALBOA ISLAND,ORANGE,CA,33.6061,-117.8915,949,1767,357,109,87,,2471,2371,0,0,49,56,0,0,51,143781,108347,3797000,61.8,61.4,61.9,0,5,87,625,99,987
579,92662,NEWPORT BEACH,ORANGE,CA,33.6061,-117.8915,949,1767,357,109,87,L,2471,2371,0,0,49,56,0,0,51,143781,108347,3797000,61.8,61.4,61.9,0,5,87,625,99,987
580,92663,NEWPORT BEACH,ORANGE,CA,33.6205,-117.9273,949,11569,0,1508,0,L,21523,18717,101,8,681,3053,78,554,1384,118718,95476,2837000,44.9,44.1,46.3,143,457,2035,3629,1739,7104
581,92672,SAN CLEMENTE,ORANGE,CA,33.4241,-117.6119,949,17038,0,1347,0,L,38872,30678,1029,160,1314,7774,58,2066,3567,96929,57530,1662000,40.3,35.7,44.8,931,816,6346,8312,2801,7872
582,92673,SAN CLEMENTE,ORANGE,CA,33.4612,-117.6184,949,10343,236,870,206,L,30972,24542,607,112,2041,4521,14,876,2780,159244,66221,1575000,41.4,39.0,42.9,284,466,2591,4535,2231,6882
583,92675,MISSION VIEJO,ORANGE,CA,33.5004,-117.6600,949,12586,0,1432,0,,35319,24198,321,253,1421,12501,0,5448,3678,111875,54759,1083000,44.8,45.2,44.5,2284,1411,5356,6092,2169,6374
584,92675,SAN JUAN CAPISTRANO,ORANGE,CA,33.5004,-117.6600,949,12586,0,1432,0,L,35319,24198,321,253,1421,12501,0,5448,3678,111875,54759,1083000,44.8,45.2,44.5,2284,1411,5356,6092,2169,6374
585,92676,MODJESKA,ORANGE,CA,33.7172,-117.6427,714,380,411,19,52,,1988,1781,2,0,50,198,0,33,122,107794,58492,881000,48.4,51.4,43.7,6,33,293,289,259,454
586,92676,MODJESKA CANYON,ORANGE,CA,33.7172,-117.6427,714,380,411,19,52,,1988,1781,2,0,50,198,0,33,122,107794,58492,881000,48.4,51.4,43.7,6,33,293,289,259,454
587,92676,SILVERADO,ORANGE,CA,33.7172,-117.6427,714,380,411,19,52,L,1988,1781,2,0,50,198,0,33,122,107794,58492,881000,48.4,51.4,43.7,6,33,293,289,259,454
588,92677,LAGUNA BEACH,ORANGE,CA,33.5331,-117.7008,949,26899,0,1114,0,,64608,45923,1045,92,7311,10002,165,3923,6149,125495,67459,1371000,47.2,45.9,48.1,1081,1720,7987,10600,3949,16707
589,92677,LAGUNA NIGUEL,ORANGE,CA,33.5331,-117.7008,949,26899,0,1114,0,L,64608,45923,1045,92,7311,10002,165,3923,6149,125495,67459,1371000,47.2,45.9,48.1,1081,1720,7987,10600,3949,16707
590,92678,TRABUCO CANYON,ORANGE,CA,33.6605,-117.5903,949,0,309,0,89,L,638,466,4,28,58,97,1,55,26,125000,51527,,51.1,50.0,51.5,2,37,77,138,41,197
591,92679,COTO DE CAZA,ORANGE,CA,33.6339,-117.5906,949,10738,0,66,0,,31406,24569,478,77,2883,4361,55,527,2817,197951,82205,1426000,45.2,46.7,44.1,195,707,2651,4912,1899,8902
592,92679,DOVE CANYON,ORANGE,CA,33.6339,-117.5906,949,10738,0,66,0,,31406,24569,478,77,2883,4361,55,527,2817,197951,82205,1426000,45.2,46.7,44.1,195,707,2651,4912,1899,8902
593,92679,LAKE FOREST,ORANGE,CA,33.6339,-117.5906,949,10738,0,66,0,,31406,24569,478,77,2883,4361,55,527,2817,197951,82205,1426000,45.2,46.7,44.1,195,707,2651,4912,1899,8902
594,92679,PORTOLA HILLS,ORANGE,CA,33.6339,-117.5906,949,10738,0,66,0,,31406,24569,478,77,2883,4361,55,527,2817,197951,82205,1426000,45.2,46.7,44.1,195,707,2651,4912,1899,8902
